귀갓길 번호,행정동,대상지역 주소,시작 경도,시작 위도,끝 경도,끝 위도
2,영등포동,양산로177 → 국회대로44길 2,37.52333328,126.9024875,37.52559911,126.9037398
9,도림동,도신로15가길 2 → 도신로15길 2,37.50607466,126.8989593,37.50607466,126.8989593
11,신길6동,신풍로23길 1 → 신풍로23길 15-1,37.50022731,126.9184446,37.50138671,126.9187252
13,신길1동→영등포본동,영등포로60길 17 → 영등포여고,37.51680706,126.9164276,37.51535216,126.9154355
14,신길7동,도신로222 ⇒ 도신로56길41-4 (성애병원 옆),37.51162804,126.9160056,37.50791546,126.915567
15,신길1동,영등포로412-1 ⇒ 여의대방로47길 14,37.51277841,126.923725,37.50904259,126.9222073
16,양평1동,양산로 16 → 선유서로 97,37.52569575,126.884799,37.52444614,126.8857824
18,당산1동,양산로 138-1 → 영등포로 143,37.52360746,126.898279,37.5213893,126.897674
19,당산2동,당산동6가 216-20 ⇒ 당산동6가 291,37.53284369,126.9048537,37.53501137,126.9032796
20,양평동,양평로30길 58 → 양평로24길 36,37.54440414,126.8885693,37.54103699,126.8947991
21,당산2동,당산역 4번출구 ⇒ 당산로50길 ⇒ KB국민은행 당산역점,37.53219515,126.9058543,37.53269016,126.904886
22,대림2동,대림동 1116-15 ⇒ 대림동 1066-68,37.49095603,126.896364,37.48959636,126.8984915
23,대림2동,서울영림초등학교 앞 디지털로38길,37.48758893,126.9025796,37.48812525,126.8999354
26,대림3동→신길5동,도림로47길 35-1 → 대림로34길 25-2,37.49832376,126.8990444,37.49974902,126.900894
29,영등포본동,영신로20길 6-1 → 신길로245,37.51505922,126.9084884,37.51379954,126.9108527